45 0 0.010000 3.7379, -2.2799, 0.0522, 1.0000, 0.0000, 0.0000, 0.0000
45 1 0.040000 3.7379, -2.2799, 0.0450, 1.0000, 0.0000, 0.0000, 0.0000
45 2 0.070000 3.7379, -2.2799, 0.0289, 1.0000, 0.0000, 0.0000, 0.0000
45 3 0.110000 3.7379, -2.2799, -0.0062, 1.0000, 0.0000, 0.0000, 0.0000
45 4 0.140000 3.7379, -2.2799, -0.0428, 1.0000, 0.0000, 0.0000, 0.0000
45 5 0.170000 3.7379, -2.2799, -0.0883, 1.0000, 0.0000, 0.0000, 0.0000
45 6 0.200000 3.7379, -2.2799, -0.1417, 0.9997, -0.0260, 0.0048, -0.0002
45 7 0.240000 3.7381, -2.2788, -0.2113, 0.9977, -0.0673, 0.0117, -0.0004
45 8 0.270000 3.7386, -2.2755, -0.2549, 0.9962, -0.0863, 0.0139, -0.0003
45 9 0.310000 3.7402, -2.2664, -0.2995, 0.9948, -0.1011, 0.0142, 0.0002
45 10 0.340000 3.7419, -2.2556, -0.3240, 0.9940, -0.1082, 0.0136, 0.0008
45 11 0.370000 3.7440, -2.2417, -0.3426, 0.9945, -0.1046, 0.0108, 0.0016
45 12 0.400000 3.7464, -2.2248, -0.3565, 0.9944, -0.1057, 0.0092, 0.0025
45 13 0.440000 3.7499, -2.1984, -0.3697, 0.9953, -0.0967, 0.0014, 0.0048
45 14 0.470000 3.7525, -2.1760, -0.3766, 0.9959, -0.0899, -0.0039, 0.0065
45 15 0.500000 3.7551, -2.1517, -0.3818, 0.9954, -0.0951, -0.0081, 0.0080
45 16 0.540000 3.7582, -2.1164, -0.3871, 0.9961, -0.0865, -0.0124, 0.0103
45 17 0.570000 3.7603, -2.0882, -0.3905, 0.9972, -0.0716, -0.0157, 0.0118
45 18 0.610000 3.7625, -2.0483, -0.3943, 0.9980, -0.0584, -0.0201, 0.0137
45 19 0.640000 3.7638, -2.0170, -0.3965, 0.9980, -0.0563, -0.0234, 0.0147
45 20 0.670000 3.7645, -1.9847, -0.3980, 0.9987, -0.0397, -0.0260, 0.0158
45 21 0.700000 3.7648, -1.9516, -0.3987, 0.9988, -0.0374, -0.0287, 0.0164
45 22 0.740000 3.7643, -1.9065, -0.3978, 0.9990, -0.0262, -0.0312, 0.0171
45 23 0.770000 3.7631, -1.8720, -0.3958, 0.9992, -0.0099, -0.0330, 0.0178
45 24 0.800000 3.7613, -1.8374, -0.3924, 0.9992, -0.0109, -0.0343, 0.0177
45 25 0.840000 3.7578, -1.7909, -0.3855, 0.9992, -0.0018, -0.0357, 0.0178
45 26 0.870000 3.7542, -1.7561, -0.3784, 0.9991, 0.0116, -0.0360, 0.0179
45 27 0.900000 3.7500, -1.7215, -0.3697, 0.9991, 0.0092, -0.0363, 0.0173
45 28 0.940000 3.7431, -1.6758, -0.3554, 0.9991, 0.0154, -0.0362, 0.0168
45 29 0.970000 3.7370, -1.6420, -0.3426, 0.9988, 0.0277, -0.0360, 0.0165
