# seq_len hidden_units levels kernel_size mse_deg std_deg val_mse_deg val_std_deg
30 15 3 5 27.911102294921875 5.240851879119873 25.172515869140625 4.977728366851807
30 15 3 7 32.410789489746094 5.640741348266602 35.58930969238281 5.723663806915283
30 15 3 10 26.92606544494629 5.149113655090332 23.778783798217773 4.830560684204102
30 15 5 5 32.02500534057617 5.615598201751709 31.461257934570312 5.49324369430542
30 15 5 7 27.246519088745117 5.181183815002441 26.291316986083984 5.0239338874816895
30 15 5 10 21.78602409362793 4.623787879943848 19.26594352722168 4.348212718963623
30 15 7 5 42.565345764160156 6.475390911102295 41.48600387573242 6.39794397354126
30 15 7 7 42.576873779296875 6.473094940185547 41.50543212890625 6.39068603515625
30 15 7 10 27.02991485595703 5.161348342895508 25.532873153686523 5.014423370361328
30 15 10 5 29.529834747314453 5.386739253997803 28.628559112548828 5.222273826599121
30 15 10 7 24.582412719726562 4.913847923278809 21.543088912963867 4.598221302032471
15 5 1 3 41.429588317871094 6.362316608428955 40.11920928955078 6.258357048034668
15 5 1 5 42.04928207397461 6.405109405517578 41.54128646850586 6.358053684234619
15 5 1 7 41.62873840332031 6.368956089019775 40.30536651611328 6.229802131652832
15 5 1 10 43.624351501464844 6.529938697814941 42.25457000732422 6.445348262786865
15 5 3 3 43.57327651977539 6.523022651672363 42.694313049316406 6.379079341888428
15 5 3 5 43.645267486572266 6.535717964172363 43.31879806518555 6.4790263175964355
15 5 3 7 43.70599365234375 6.53663444519043 42.41455841064453 6.433691501617432
15 5 3 10 43.64051055908203 6.529884338378906 43.858280181884766 6.427506446838379
15 5 5 3 43.3826789855957 6.5073561668396 43.32577133178711 6.4158711433410645
15 5 5 5 38.121952056884766 6.088476657867432 35.15247344970703 5.853786468505859
15 5 5 7 43.52960205078125 6.517090797424316 42.03396224975586 6.410436630249023
15 5 5 10 35.73774719238281 5.88558292388916 36.05881118774414 5.8620710372924805
15 5 7 3 43.466217041015625 6.518709659576416 42.37533187866211 6.4494781494140625
15 5 7 5 43.51735305786133 6.52599573135376 42.72512435913086 6.464433193206787
15 5 7 7 43.66530990600586 6.529749870300293 42.301326751708984 6.4253153800964355
15 5 7 10 43.612335205078125 6.528561115264893 43.35892868041992 6.468353271484375
15 5 10 3 43.82435989379883 6.5444841384887695 42.084503173828125 6.378116130828857
15 5 10 5 43.683773040771484 6.536246299743652 41.96536636352539 6.3932390213012695
15 5 10 7 43.684879302978516 6.538233757019043 42.10533905029297 6.431776523590088
15 5 10 10 43.632286071777344 6.534758567810059 42.461978912353516 6.376763820648193
15 15 1 3 41.44096374511719 6.349481582641602 40.45589065551758 6.187851905822754
15 15 1 5 33.8676872253418 5.724902629852295 30.523256301879883 5.390402317047119
15 15 1 7 37.74283981323242 6.052741050720215 35.03059005737305 5.819332599639893
15 15 1 10 39.21461868286133 6.180981636047363 36.045654296875 5.900459289550781
15 15 3 3 26.01979637145996 5.015334606170654 24.318702697753906 4.802497386932373
15 15 3 5 24.924203872680664 4.902798175811768 23.150985717773438 4.704073429107666
15 15 3 7 27.763559341430664 5.182445526123047 25.036951065063477 4.883951663970947
15 15 3 10 25.464597702026367 4.959458827972412 24.765871047973633 4.816887855529785
15 15 5 3 33.4058723449707 5.685470104217529 30.54739761352539 5.398421287536621
15 15 5 5 40.26470947265625 6.271414756774902 40.220252990722656 6.131073951721191
15 15 5 7 24.42422866821289 4.8495259284973145 22.69725799560547 4.673374176025391
