70 0 0.010000 4.2934, -0.8537, 3.0892, 1.0000, 0.0000, 0.0000, 0.0000
70 1 0.040000 4.2934, -0.8537, 3.0820, 1.0000, 0.0000, 0.0000, 0.0000
70 2 0.070000 4.2934, -0.8537, 3.0660, 1.0000, 0.0000, 0.0000, 0.0000
70 3 0.110000 4.2934, -0.8537, 3.0308, 1.0000, 0.0000, 0.0000, 0.0000
70 4 0.140000 4.2934, -0.8537, 2.9942, 1.0000, 0.0000, 0.0000, 0.0000
70 5 0.170000 4.2933, -0.8538, 2.9514, 0.9961, 0.0560, -0.0682, 0.0010
70 6 0.200000 4.2896, -0.8568, 2.9225, 0.9848, 0.1096, -0.1349, 0.0024
70 7 0.240000 4.2707, -0.8723, 2.9194, 0.9747, 0.1385, -0.1752, 0.0035
70 8 0.270000 4.2457, -0.8926, 2.9361, 0.9682, 0.1553, -0.1960, 0.0056
70 9 0.310000 4.2028, -0.9271, 2.9681, 0.9746, 0.1322, -0.1804, 0.0066
70 10 0.340000 4.1671, -0.9556, 2.9910, 0.9795, 0.1129, -0.1668, 0.0069
70 11 0.370000 4.1303, -0.9849, 3.0082, 0.9828, 0.1015, -0.1544, 0.0064
70 12 0.400000 4.0933, -1.0143, 3.0173, 0.9866, 0.0847, -0.1395, 0.0060
70 13 0.440000 4.0439, -1.0536, 3.0156, 0.9906, 0.0632, -0.1215, 0.0055
70 14 0.470000 4.0068, -1.0831, 3.0042, 0.9929, 0.0486, -0.1083, 0.0050
70 15 0.500000 3.9695, -1.1127, 2.9851, 0.9945, 0.0378, -0.0971, 0.0044
70 16 0.540000 3.9184, -1.1526, 2.9525, 0.9965, 0.0223, -0.0806, 0.0035
70 17 0.570000 3.8789, -1.1829, 2.9257, 0.9977, 0.0096, -0.0672, 0.0028
70 18 0.610000 3.8244, -1.2235, 2.8894, 0.9988, -0.0083, -0.0484, 0.0018
70 19 0.640000 3.7824, -1.2539, 2.8625, 0.9992, -0.0220, -0.0341, 0.0010
70 20 0.670000 3.7397, -1.2838, 2.8368, 0.9992, -0.0359, -0.0199, 0.0003
