30 0 0.010000 -1.6635, -1.2263, 0.8819, 0.9998, -0.0155, -0.0112, -0.0005
30 1 0.040000 -1.6638, -1.2259, 0.8838, 0.9973, -0.0598, -0.0418, -0.0024
30 2 0.070000 -1.6653, -1.2238, 0.8916, 0.9940, -0.0909, -0.0603, -0.0041
30 3 0.110000 -1.6702, -1.2164, 0.9122, 0.9901, -0.1196, -0.0730, -0.0065
30 4 0.140000 -1.6762, -1.2071, 0.9332, 0.9877, -0.1362, -0.0768, -0.0085
30 5 0.170000 -1.6840, -1.1946, 0.9565, 0.9883, -0.1358, -0.0689, -0.0110
30 6 0.200000 -1.6929, -1.1796, 0.9799, 0.9879, -0.1413, -0.0618, -0.0138
30 7 0.240000 -1.7062, -1.1565, 1.0082, 0.9875, -0.1488, -0.0489, -0.0171
30 8 0.270000 -1.7169, -1.1372, 1.0255, 0.9885, -0.1447, -0.0397, -0.0191
30 9 0.310000 -1.7315, -1.1095, 1.0416, 0.9895, -0.1404, -0.0277, -0.0218
30 10 0.340000 -1.7428, -1.0874, 1.0477, 0.9900, -0.1375, -0.0189, -0.0237
30 11 0.370000 -1.7541, -1.0643, 1.0483, 0.9915, -0.1275, -0.0106, -0.0253
30 12 0.400000 -1.7655, -1.0405, 1.0433, 0.9923, -0.1207, -0.0026, -0.0267
30 13 0.440000 -1.7807, -1.0073, 1.0282, 0.9939, -0.1065, 0.0074, -0.0283
30 14 0.470000 -1.7920, -0.9815, 1.0111, 0.9952, -0.0926, 0.0137, -0.0291
30 15 0.500000 -1.8031, -0.9547, 0.9903, 0.9960, -0.0820, 0.0195, -0.0297
30 16 0.540000 -1.8175, -0.9173, 0.9592, 0.9971, -0.0648, 0.0275, -0.0303
30 17 0.570000 -1.8277, -0.8881, 0.9350, 0.9978, -0.0472, 0.0343, -0.0312
30 18 0.610000 -1.8403, -0.8478, 0.9030, 0.9981, -0.0291, 0.0435, -0.0321
30 19 0.640000 -1.8488, -0.8169, 0.8795, 0.9980, -0.0204, 0.0504, -0.0327
30 20 0.670000 -1.8564, -0.7857, 0.8567, 0.9978, -0.0026, 0.0570, -0.0338
30 21 0.700000 -1.8628, -0.7544, 0.8346, 0.9975, -0.0014, 0.0624, -0.0341
30 22 0.740000 -1.8695, -0.7128, 0.8065, 0.9971, 0.0069, 0.0672, -0.0348
30 23 0.770000 -1.8730, -0.6820, 0.7863, 0.9966, 0.0243, 0.0702, -0.0362
30 24 0.800000 -1.8752, -0.6515, 0.7669, 0.9965, 0.0231, 0.0718, -0.0365
30 25 0.840000 -1.8760, -0.6118, 0.7420, 0.9962, 0.0310, 0.0725, -0.0376
30 26 0.870000 -1.8751, -0.5828, 0.7240, 0.9956, 0.0469, 0.0710, -0.0391
30 27 0.900000 -1.8728, -0.5547, 0.7065, 0.9957, 0.0459, 0.0699, -0.0397
30 28 0.940000 -1.8678, -0.5188, 0.6838, 0.9952, 0.0571, 0.0674, -0.0413
30 29 0.970000 -1.8627, -0.4932, 0.6674, 0.9943, 0.0732, 0.0642, -0.0434
