timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
317888430,32767,32767,32767,-31,32767,32767
317893716,32767,32767,32767,32767,-46,32767
318010219,32767,32767,32767,32767,32767,32767
318015309,32767,32767,32767,32767,4,-25
318020384,32767,32767,32767,32767,32767,32767
318025449,32767,32767,32767,32767,32767,-29
318030524,32767,32767,32767,32767,-20,32767
318035600,32767,32767,32767,32767,32767,-28
318040679,32767,32767,32767,32767,8,32767
318045738,32767,32767,32767,32767,32767,-39
318050816,32767,32767,32767,-32,32767,32767
318056176,32767,32767,32767,32767,-19,-28
318061136,32767,32767,32767,32767,32767,32767
318066149,32767,32767,32767,32767,32767,-35
318071138,32767,32767,32767,32767,-43,32767
318076186,32767,32767,32767,32767,32767,-41
318081280,32767,32767,32767,32767,-18,32767
318086349,32767,32767,32767,32767,32767,-39
318091420,32767,32767,32767,32767,5,32767
318096487,32767,32767,32767,32767,32767,-31
318101614,32767,32767,32767,-21,32767,32767
318106633,32767,32767,32767,32767,-21,-24
318111718,32767,32767,32767,32767,32767,32767
318116786,32767,32767,32767,32767,8,-26
318121861,32767,32767,32767,32767,32767,32767
318126941,32767,32767,32767,32767,32767,-16
318132006,32767,32767,32767,32767,-18,-4
318137323,32767,32767,32767,32767,32767,32767
318142361,32767,32767,32767,32767,5,2
318147337,32767,32767,32767,32767,32767,32767
318152338,32767,32767,32767,32767,32767,-8
318157383,32767,32767,32767,32767,-19,-40
318162457,32767,32767,32767,32767,32767,0
318167531,32767,32767,32767,32767,5,32767
318172606,32767,32767,32767,-31,32767,-1
318177678,32767,32767,32767,32767,32767,32767
318182762,32767,32767,32767,32767,-20,2
318187830,32767,32767,32767,32767,32767,32767
318192903,32767,32767,32767,32767,5,-2
318197976,32767,32767,32767,32767,32767,32767
318203098,32767,32767,32767,32767,32767,-11
318208130,32767,32767,32767,32767,-18,-37
318213200,32767,32767,32767,32767,32767,-4
318218558,32767,32767,32767,32767,6,32767
318223576,32767,32767,32767,-18,32767,-5
318228585,32767,32767,32767,32767,32767,32767
318233552,32767,32767,32767,32767,-18,-7
318238573,32767,32767,32767,32767,32767,32767
318243655,32767,32767,32767,32767,8,-7
318248722,32767,32767,32767,32767,32767,32767
318253799,32767,32767,32767,32767,32767,-19
318258877,32767,32767,32767,32767,-18,-40
318263948,32767,32767,32767,32767,32767,32767
318269020,32767,32767,32767,32767,7,-39
318274108,32767,32767,32767,-21,32767,-5
318279169,32767,32767,32767,32767,32767,32767
318284271,32767,32767,32767,32767,-18,-19
318289327,32767,32767,32767,32767,32767,32767
318294402,32767,32767,32767,32767,32767,-4
318299512,32767,32767,32767,32767,-44,32767
318304725,32767,32767,32767,32767,32767,-5
318309736,32767,32767,32767,32767,-20,32767
318314732,32767,32767,32767,32767,32767,-20
318319794,32767,32767,32767,32767,6,32767
318324850,32767,32767,32767,32767,32767,-18
318329918,32767,32767,32767,32767,32767,32767
318335017,32767,32767,32767,-33,-21,-25
318340067,32767,32767,32767,32767,32767,32767
318345141,32767,32767,32767,32767,5,-26
318350221,32767,32767,32767,32767,32767,32767
318355327,32767,32767,32767,32767,32767,-8
318360372,32767,32767,32767,32767,-20,32767
318365446,32767,32767,32767,32767,32767,-29
318370512,32767,32767,32767,32767,8,32767
318375596,32767,32767,32767,32767,32767,-37
318380669,32767,32767,32767,32767,32767,32767
318385921,32767,32767,32767,-33,-20,-32
318390991,32767,32767,32767,32767,32767,32767
318395924,32767,32767,32767,32767,5,-19
318400962,32767,32767,32767,32767,32767,32767
318426342,32767,32767,32767,32767,32767,-37
318431416,32767,32767,32767,32767,32767,32767
318436485,32767,32767,32767,-31,-17,-38
318441558,32767,32767,32767,32767,32767,32767
318446630,32767,32767,32767,32767,32767,-39
318451716,32767,32767,32767,32767,-44,2
318456782,32767,32767,32767,32767,32767,-29
318461862,32767,32767,32767,32767,-16,-2
318467191,32767,32767,32767,32767,32767,32767
318472151,32767,32767,32767,32767,7,32767
318477131,32767,32767,32767,32767,32767,-36
318482224,32767,32767,32767,32767,32767,32767
318487235,32767,32767,32767,32767,-19,-36
318492315,32767,32767,32767,32767,32767,-3
318497386,32767,32767,32767,-32,6,-30
318502461,32767,32767,32767,32767,32767,1
318507525,32767,32767,32767,32767,32767,32767
318512609,32767,32767,32767,32767,-21,-2
