timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
317888250,317888250,255,0,0,0,982,1507,1494,2006,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
317900255,317900255,255,0,0,0,982,1508,1494,2006,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
318393136,318393136,255,0,0,0,982,1508,1494,1494,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
318905332,318905332,255,0,0,0,982,1508,1494,1494,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
319392467,319392467,255,0,0,0,982,1508,1494,1494,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
320393343,320393343,255,0,0,0,982,1508,1494,1493,982,982,982,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
321892397,321892397,255,0,0,0,982,1508,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
322388249,322388249,255,0,0,0,982,1508,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
322892278,322892278,255,0,0,0,982,1508,1494,1493,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
323388255,323388255,255,0,0,0,982,1507,1494,1493,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
324388253,324388253,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
324894475,324894475,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
325384856,325384856,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
325893183,325893183,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
326392517,326392517,255,0,0,0,982,1508,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
326888469,326888469,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
327392363,327392363,255,0,0,0,982,1507,1494,1493,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
327888249,327888249,255,0,0,0,982,1507,1494,1494,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
