timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
317876574,0,0,1,1,1,0,1,1,0
317893872,0,0,1,1,1,0,1,1,0
318091006,0,0,1,1,1,0,1,1,0
318191754,0,0,1,1,1,0,1,1,0
318285443,0,0,1,1,1,0,1,1,0
318390350,0,0,1,1,1,0,1,1,0
318490570,0,0,1,1,1,0,1,1,0
318585495,0,0,1,1,1,0,1,1,0
318685336,0,0,1,1,1,0,1,1,0
318790350,0,0,1,1,1,0,1,1,0
318900488,0,0,1,1,1,0,1,1,0
319090487,0,0,1,1,1,0,1,1,0
319191010,0,0,1,1,1,0,1,1,0
319291075,0,0,1,1,1,0,1,1,0
319390426,0,0,1,1,1,0,1,1,0
319490374,0,0,1,1,1,0,1,1,0
319592025,0,0,1,1,1,0,1,1,0
319689776,0,0,1,1,1,0,1,1,0
319991786,0,0,1,1,1,0,1,1,0
320090479,0,0,1,1,1,0,1,1,0
320291880,0,0,1,1,1,0,1,1,0
320389698,0,0,1,1,1,0,1,1,0
320489341,0,0,1,1,1,0,1,1,0
320589575,0,0,1,1,1,0,1,1,0
320789859,0,0,1,1,1,0,1,1,0
321889349,0,0,1,1,1,0,1,1,0
322094617,0,0,1,1,1,0,1,1,0
322289356,0,0,1,1,1,0,1,1,0
322388468,0,0,1,1,1,0,1,1,0
322594408,0,0,1,1,1,0,1,1,0
322688546,0,0,1,1,1,0,1,1,0
322788897,0,0,1,1,1,0,1,1,0
322891913,0,0,1,1,1,0,1,1,0
323291401,0,0,1,1,1,0,1,1,0
323388756,0,0,1,1,1,0,1,1,0
324394083,0,0,1,1,1,0,1,1,0
324588578,0,0,1,1,1,0,1,1,0
324693010,0,0,1,1,1,0,1,1,0
324788572,0,0,1,1,1,0,1,1,0
324888549,0,0,1,1,1,0,1,1,0
324989065,0,0,1,1,1,0,1,1,0
325093450,0,0,1,1,1,0,1,1,0
325188899,0,0,1,1,1,0,1,1,0
325290504,0,0,1,1,1,0,1,1,0
325394739,0,0,1,1,1,0,1,1,0
325488448,0,0,1,1,1,0,1,1,0
325593388,0,0,1,1,1,0,1,1,0
325691437,0,0,1,1,1,0,1,1,0
