timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
317888430,-0.012232281,-0.0046792035,-0.026167456,5075,0,0.12548499,0.018109469,-9.820828,5075,0
317893716,-0.004825207,-0.0014589179,0.020547869,5286,0,0.13798027,0.0036692785,-9.777942,5286,0
317908806,-0.006223017,-0.0028969545,-0.010268193,5044,0,-0.046200994,0.16503598,-9.766386,5044,0
318010219,-0.008612845,-0.0008348877,-0.0041823504,5075,0,0.08791701,0.12983225,-9.84728,5075,0
318015309,-0.0067793634,0.006593258,-0.003937402,5090,0,0.08042902,-0.012198989,-9.638524,5090,0
318020384,-0.012947504,-0.0076229894,0.0033872512,5075,0,0.37825435,-0.15107282,-9.883028,5075,0
318025449,-0.010217882,-0.016007282,-0.0003351337,5065,0,-0.012171868,0.23161353,-9.874589,5065,0
318030524,-0.0050897277,3.053889e-05,-0.0048174546,5075,0,-0.11117766,0.14572787,-9.861383,5075,0
318035600,-0.007757735,0.011462667,-0.0032197773,5076,0,0.1537834,-0.05727777,-9.686,5076,0
318040679,-0.014028377,-0.008027726,0.0029537017,5079,0,0.38213906,-0.088961296,-9.872609,5079,0
318045738,-0.011635649,-0.017831502,-0.0019210691,5059,0,-0.002692516,0.120821536,-9.975139,5059,0
318050816,-0.009499186,0.0010656053,-0.0057276655,5078,0,-0.07783568,0.16543046,-9.883215,5078,0
318056176,-0.0073205996,0.010149993,-0.0014701698,5360,0,0.1327098,0.0026295409,-9.637187,5360,0
318061136,-0.011945984,-0.008364247,0.002161469,4960,0,0.3226491,-0.05550203,-9.888258,4960,0
318066149,-0.008531053,-0.014813925,-0.0028359152,5013,0,0.021599477,0.16538343,-10.015782,5013,0
318071138,-0.008333873,-0.0010242858,-0.0036014477,4989,0,-0.06673375,0.047783706,-9.7992325,4989,0
318076186,-0.010600355,0.0050851908,-0.0018285802,5048,0,0.11210992,-0.042247843,-9.6972,5048,0
318081280,-0.009141815,-0.0064210542,0.0036028703,5094,0,0.26260206,0.10913458,-9.765823,5094,0
318086349,-0.0068945587,-0.011377813,-0.0022088278,5069,0,0.0980799,0.12561736,-10.036458,5069,0
318091420,-0.007772033,-0.0031199122,-0.009020091,5071,0,-0.012796424,-0.02369287,-9.939373,5071,0
318096487,-0.010879195,0.0033726443,-0.0007330158,5067,0,0.08318404,-0.071877986,-9.723821,5067,0
318101614,-0.009331317,-0.0023292243,0.008124342,5127,0,0.1495935,0.19941288,-9.813044,5127,0
318106633,-0.0069223936,-0.007893752,-0.0043027005,5019,0,0.09874334,0.029732576,-9.903422,5019,0
318111718,-0.009077415,-0.0075893896,-0.0091620255,5085,0,0.08433879,-0.055855732,-9.951746,5085,0
318116786,-0.012336256,-0.0004552217,-5.178386e-05,5068,0,0.03284535,0.069710374,-9.845657,5068,0
318121861,-0.010028352,-0.00026286588,0.0069436715,5075,0,0.14142552,0.116963215,-9.763226,5075,0
318126941,-0.00501165,-0.0063155927,-0.0043462045,5080,0,0.09136229,0.09683808,-9.885328,5080,0
318132006,-0.010072168,-0.008018093,-0.012844548,5065,0,0.021204006,-0.09423079,-9.925567,5065,0
318137323,-0.013828894,-0.0008872648,0.0017705052,5317,0,0.06490319,-0.05642402,-9.870315,5317,0
318142361,-0.008754938,0.002223377,0.009350076,5038,0,0.09999511,0.23989275,-9.716086,5038,0
318147337,-0.005132629,-0.00825498,-0.006374421,4976,0,0.17298804,0.15919554,-9.872364,4976,0
318152338,-0.008332886,-0.010178114,-0.010637961,5001,0,0.084365726,-0.1350549,-9.9897995,5001,0
318157383,-0.014768244,-0.0010248654,0.0013738987,5045,0,0.023935758,-0.084470674,-9.933708,5045,0
318162457,-0.011571478,0.0039396356,0.0073111104,5074,0,0.11997727,0.25749892,-9.769418,5074,0
318167531,-0.0024128659,-0.009786467,-0.003870234,5074,0,0.11843198,0.109529,-9.812067,5074,0
318172606,-0.0064551565,-0.010853519,-0.012351345,5075,0,0.1139162,-0.10190259,-10.037171,5075,0
318177678,-0.01618936,0.0023728963,0.0021971029,5072,0,0.024857102,0.0003374972,-9.925187,5072,0
318182762,-0.011061376,0.0027107163,0.009456436,5084,0,0.12335618,0.12236016,-9.661609,5084,0
318187830,-0.0043054135,-0.013654624,-0.004902522,5068,0,0.116727956,0.23803256,-9.869765,5068,0
318192903,-0.0075491834,-0.008336594,-0.011232456,5073,0,-0.00037510297,-0.123592906,-9.986092,5073,0
318197976,-0.0153025715,0.0056413054,0.0020524967,5073,0,0.13791162,-0.14251038,-9.902986,5073,0
318203098,-0.011354657,-0.0034662252,0.007928186,5122,0,0.13322894,0.22015794,-9.751676,5122,0
318208130,-0.0042064656,-0.012777781,-0.0041443678,5032,0,0.06093282,0.24112019,-9.864493,5032,0
318213200,-0.0067916503,-0.0027631093,-0.011700891,5070,0,0.08478648,-0.13436534,-9.976291,5070,0
318218558,-0.0145812575,0.0045165485,-0.00034739394,5358,0,0.15515962,-0.16768508,-9.908973,5358,0
318223576,-0.014620197,-0.008338763,0.007236229,5018,0,0.09740749,0.21967158,-9.831225,5018,0
318228585,-0.0034251406,-0.010436642,-0.000805212,5009,0,0.009043412,0.2383037,-9.945562,5009,0
318233552,-0.0060494677,0.0018965419,-0.009694326,4967,0,0.09673396,-0.12932773,-9.916705,4967,0
