timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
317888430,0.6864052,-0.0034965985,0.0024111045,0.727207,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
317893716,0.68636197,-0.003492688,0.002423278,0.7272478,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318010219,0.686353,-0.0034938853,0.002414392,0.7272561,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318015309,0.68635654,-0.0035081457,0.0024375156,0.72725266,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318020384,0.68634665,-0.003506814,0.0024245554,0.72726214,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318025449,0.68634367,-0.0034853017,0.0024020865,0.7272651,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318030524,0.6863489,-0.003484448,0.0024168969,0.7272602,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318035600,0.686351,-0.0035093308,0.0024467178,0.7272579,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318040679,0.6863419,-0.003509144,0.0024310371,0.7272666,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318045738,0.6863418,-0.0034867637,0.0024028406,0.72726685,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318050816,0.68634874,-0.0034955172,0.002411309,0.7272603,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318056176,0.6863478,-0.0035188547,0.0024401832,0.727261,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318061136,0.6863402,-0.0035142582,0.0024287212,0.72726816,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318066149,0.6863418,-0.0034921477,0.0024118857,0.72726685,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318071138,0.6863446,-0.003494807,0.002419122,0.7272641,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318076186,0.68634427,-0.003512746,0.0024325931,0.72726434,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318081280,0.68633395,-0.003507041,0.002428625,0.72727406,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318086349,0.6863345,-0.0034883036,0.002420268,0.7272737,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318091420,0.6863475,-0.0034863506,0.002424599,0.7272614,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318096487,0.6863451,-0.0035017058,0.0024345834,0.7272635,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318101614,0.6863263,-0.003503948,0.002437364,0.7272812,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318106633,0.6863306,-0.003491739,0.0024352279,0.7272772,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318111718,0.686344,-0.0034838433,0.0024292702,0.7272647,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318116786,0.68634045,-0.0034946941,0.0024298914,0.727268,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318121861,0.686324,-0.0035018632,0.0024351445,0.7272834,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318126941,0.68632853,-0.0034892133,0.0024389732,0.7272792,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318132006,0.6863486,-0.003482286,0.0024305026,0.7272603,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318137323,0.6863416,-0.003495971,0.0024265025,0.7272669,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318142361,0.6863209,-0.0035053538,0.0024386148,0.72728634,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318147337,0.686329,-0.0034894983,0.0024392859,0.72727877,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318152338,0.6863449,-0.0034756504,0.002430616,0.72726387,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318157383,0.6863388,-0.0034896336,0.0024257863,0.7272696,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318162457,0.6863218,-0.0035073261,0.0024353752,0.7272855,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318167531,0.6863256,-0.0034838086,0.0024378775,0.72728205,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318172606,0.686345,-0.0034654008,0.002430993,0.7272639,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318177678,0.6863373,-0.003488242,0.0024293307,0.7272711,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318182762,0.6863163,-0.003502812,0.0024377254,0.72729075,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318187830,0.68632203,-0.0034754837,0.0024300325,0.72728544,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318192903,0.68633926,-0.0034636261,0.0024255286,0.72726923,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318197976,0.68633187,-0.0034909686,0.0024311773,0.7272761,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318203098,0.6863137,-0.0034947344,0.002428064,0.72729325,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318208130,0.686318,-0.0034689738,0.0024222787,0.7272893,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318213200,0.6863361,-0.003466093,0.0024288576,0.7272722,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318218558,0.6863331,-0.0034919141,0.0024330406,0.7272749,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318223576,0.68631643,-0.0034921218,0.0024161946,0.7272907,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318228585,0.68631464,-0.0034693305,0.0024160536,0.72729254,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318233552,0.6863287,-0.003473486,0.0024322146,0.7272792,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
