timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
317469329,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
318484033,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
319495768,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
319997569,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
320500479,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
320779877,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
322299408,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
324830166,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
325331168,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
325845142,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
326347544,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
326856040,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
327364679,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
327869280,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
328374342,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
328877112,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
329889291,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
330394167,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
330899179,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
331407871,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
331917215,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
332421434,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
332932024,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
333441509,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
333946627,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
334454558,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
334954979,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
336474578,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
336976280,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
337479811,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
337981171,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
338495636,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
339006005,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
340020002,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
340521160,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
341026174,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
341537147,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
342043477,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
343059391,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
343567454,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
344067511,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
344570193,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
345080212,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
345565188,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
346444780,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
346947227,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
347457278,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
347957790,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
348966170,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
349595197,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
350103953,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
350319018,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
350701541,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
