timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
317876476,-0.03374945,-0.49842027,0.07150425
317889163,0.0067161964,-0.8044988,0.12608023
318015799,-0.07918456,-0.21734251,0.47835815
318028549,-0.04455488,-0.20325021,0.4790446
318041431,-0.061293803,-0.16961016,0.5080341
318054298,-0.085691586,-0.22835049,0.48078734
318066852,-0.07039571,-0.24808449,0.49523637
318079400,-0.07412736,-0.20286869,0.4977457
318091948,-0.08906819,-0.19838248,0.4756908
318104581,-0.08250062,-0.1978257,0.50146484
318117536,-0.10302936,-0.18600886,0.4934645
318130288,-0.088554874,-0.20927759,0.4991817
318142832,-0.073685266,-0.20735365,0.49392903
318155455,-0.09585883,-0.20176832,0.4686353
318168003,-0.04318953,-0.17245771,0.49760106
318180723,-0.062603526,-0.20770255,0.5069998
318193401,-0.062399037,-0.21680352,0.5009324
318206336,-0.06538023,-0.21983978,0.50703204
318219161,-0.09515525,-0.20172787,0.47616076
318231726,-0.08273729,-0.17292514,0.48804158
318244432,-0.10818267,-0.20269156,0.5043318
318257009,-0.11171465,-0.20926537,0.5011783
318269772,-0.07887185,-0.22346328,0.50759
318282486,-0.07818016,-0.21821529,0.47173157
318295129,-0.07372723,-0.17971122,0.497451
318307707,-0.10394777,-0.20598236,0.5150641
318320306,-0.085647024,-0.1983157,0.48814356
318332915,-0.07403739,-0.21149941,0.50128967
318345633,-0.056483626,-0.19883111,0.47048718
318358303,-0.06852497,-0.16187482,0.49357092
318371311,-0.09789792,-0.19815578,0.51771635
318383937,-0.06198896,-0.21840397,0.4887084
318396484,-0.07945149,-0.23767056,0.5118553
318434737,-0.10716877,-0.20043963,0.508003
318447382,-0.06940114,-0.20765711,0.48943633
318460260,-0.09519148,-0.21205555,0.5013902
318472813,-0.06812184,-0.1740751,0.48192832
318485391,-0.06382524,-0.1746632,0.47638842
318497981,-0.042874485,-0.2093917,0.5044468
318510543,-0.07805027,-0.25185686,0.49411654
318523354,-0.07472752,-0.1970366,0.49263734
318536173,-0.09878532,-0.19631904,0.47014445
318548811,-0.094901115,-0.16393545,0.49921167
318561531,-0.1116399,-0.19570671,0.50600123
318574157,-0.08176242,-0.2271582,0.4949883
318586723,-0.06603881,-0.21772808,0.4846356
318599387,-0.10034071,-0.20247152,0.46753672
318637800,-0.0736286,-0.23318906,0.48917377
318650367,-0.053966306,-0.21916297,0.5033183
318662917,-0.07232494,-0.1946553,0.46852776
318675507,-0.084802054,-0.20168741,0.48380122
318688639,-0.09700906,-0.19931513,0.5096914
318701190,-0.08859318,-0.2066693,0.4913002
318713738,-0.091928065,-0.22325765,0.49379727
318726285,-0.08173735,-0.1956196,0.4706935
318738899,-0.08266054,-0.19298989,0.49269587
318751574,-0.066082664,-0.19981106,0.52160084
318764309,-0.08914951,-0.19974089,0.48251522
318777240,-0.08001621,-0.23129645,0.50377244
318790118,-0.07366567,-0.21146809,0.48118946
318802668,-0.10099065,-0.223842,0.48879743
318815216,-0.08134179,-0.20682038,0.51516324
318827762,-0.093844414,-0.21134928,0.47710225
318840416,-0.10391153,-0.22774257,0.48983252
318853582,-0.09137109,-0.19026563,0.48033985
318903935,-0.064308666,-0.21251169,0.4947678
318916505,-0.07544493,-0.21606462,0.5084651
318929374,-0.081126355,-0.1948995,0.4748926
318954844,-0.07667806,-0.19643344,0.5010023
318967391,-0.07668408,-0.24280855,0.49041286
319030975,-0.051285814,-0.24811836,0.48917067
319043548,-0.061717033,-0.19568694,0.51026726
319056209,-0.06776114,-0.18103455,0.48494208
319068757,-0.074278444,-0.20537138,0.4993308
319081462,-0.11083193,-0.20653571,0.5158592
319094114,-0.08986657,-0.1980414,0.4872177
319107081,-0.08144127,-0.21646148,0.5124167
319132394,-0.056699447,-0.16909729,0.49969465
319144943,-0.064544044,-0.16517033,0.50342613
319157561,-0.08170641,-0.21552414,0.47919244
319170220,-0.060040023,-0.20940016,0.5026689
319183157,-0.08885682,-0.1953691,0.49123624
319195851,-0.08128966,-0.21043101,0.46640798
319208447,-0.103233434,-0.17007194,0.49949503
319233671,-0.08450839,-0.24504946,0.51463187
319246355,-0.10094089,-0.20971404,0.4957148
319259189,-0.060371652,-0.19091393,0.46392986
319272049,-0.042713832,-0.18778011,0.5020597
319284651,-0.08391314,-0.16715166,0.49796137
319297202,-0.06203891,-0.21547173,0.5150901
319309810,-0.07432763,-0.21264338,0.4701741
319322513,-0.06915506,-0.18317448,0.50206953
319335192,-0.116128,-0.19557002,0.5054226
319348080,-0.09003385,-0.20828977,0.50125664
319361027,-0.08810251,-0.23114659,0.50559837
319386147,-0.08496701,-0.17552407,0.4976442
319398712,-0.08333979,-0.18614554,0.49422434
319411328,-0.08964857,-0.20653069,0.49111205
319437054,-0.0754802,-0.20116045,0.47814032
319449629,-0.08899062,-0.22048065,0.49136978
319462227,-0.10522778,-0.20528361,0.48934633
319474778,-0.10785232,-0.19803764,0.48770267
319487408,-0.1023555,-0.20961243,0.51457816
319500071,-0.0838665,-0.21948996,0.49404785
319538428,-0.08643759,-0.17563602,0.47682348
319550979,-0.04593443,-0.17360795,0.5171546
319563529,-0.08955796,-0.18789704,0.5056979
319576374,-0.06999668,-0.22707891,0.48393947
319589400,-0.08204315,-0.2224074,0.49635798
319601972,-0.087997414,-0.20111905,0.48568314
319614522,-0.100966536,-0.2025276,0.5089623
319627099,-0.101335675,-0.2294659,0.5066554
319639670,-0.07492452,-0.18604554,0.48698154
319652375,-0.043198135,-0.19413795,0.4872283
319665030,-0.052009642,-0.19170679,0.4722504
319678103,-0.08959927,-0.18243742,0.50916445
319690794,-0.092202075,-0.20890358,0.5167932
319703362,-0.09905544,-0.21865852,0.49281347
319715912,-0.08026348,-0.20932086,0.4912389
319728551,-0.09169065,-0.17405722,0.48496902
319741182,-0.10395758,-0.18148345,0.50479245
319754077,-0.08952866,-0.20082529,0.5143341
319804674,-0.07271392,-0.15623304,0.47898048
319817241,-0.08181216,-0.17336375,0.51025736
319829906,-0.089949794,-0.22911507,0.49420196
319842951,-0.08881472,-0.21856727,0.5098927
319855518,-0.09575558,-0.21355411,0.4821612
319868068,-0.083132125,-0.19586569,0.47679693
319880677,-0.08715724,-0.17967547,0.503934
319906035,-0.06216364,-0.21400018,0.5033676
319919029,-0.052192155,-0.19477344,0.4986628
319931716,-0.09960022,-0.2110975,0.47196248
319944310,-0.08347146,-0.19320121,0.5052745
319956871,-0.06461446,-0.17649877,0.49824163
319969491,-0.0937442,-0.22042327,0.501977
319982176,-0.085088864,-0.24179722,0.49677566
319994849,-0.09211579,-0.18233523,0.47626743
